fecha_venta,id_producto,modelo,categoría,canal_venta,cliente,unidades,precio_unitario,monto_total
2024-01-12,CAL-013,Old Skool Black/White,Calzado,Tienda Física,Cliente_55,1,17007,17007
2024-01-12,CAL-015,RS-X Efekt Gradient,Calzado,Tienda Física,Cliente_117,3,35793,107379
2024-01-13,INF-008,Sweatpants Classic Grey,Inferior,Instagram,Cliente_12,2,36158,72316
2024-01-13,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Instagram,Cliente_168,3,42895,128685
2024-01-13,INF-006,Cargo Pants Tactical Fit,Inferior,Instagram,Cliente_15,2,17804,35608
2024-01-13,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Tienda Online,Cliente_55,4,44401,177604
2024-01-14,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,TikTok Shop,Cliente_133,1,25273,25273
2024-01-14,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Instagram,Cliente_11,4,26169,104676
2024-01-14,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Online,Cliente_2,4,39108,156432
2024-01-14,ACC-019,Cinturón de lona con hebilla,Accesorios,TikTok Shop,Cliente_170,3,27340,82020
2024-01-14,SUP-004,Classic Polo Black,Superior,Tienda Online,Cliente_101,4,22544,90176
2024-01-14,INF-008,Sweatpants Classic Grey,Inferior,Tienda Online,Cliente_8,1,38519,38519
2024-01-14,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_159,3,44998,134994
2024-01-15,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_117,3,41260,123780
2024-01-15,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Tienda Física,Cliente_106,3,40305,120915
2024-01-15,INF-010,Biker Shorts Urban Black,Inferior,Tienda Online,Cliente_36,5,36168,180840
2024-01-15,CAL-015,RS-X Efekt Gradient,Calzado,Tienda Online,Cliente_98,4,37473,149892
2024-01-15,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,TikTok Shop,Cliente_10,5,30827,154135
2024-01-15,INF-010,Biker Shorts Urban Black,Inferior,Tienda Online,Cliente_36,3,25508,76524
2024-01-15,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_154,4,24138,96552
2024-01-15,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_79,5,24420,122100
2024-01-16,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_76,4,30566,122264
2024-01-16,ACC-019,Cinturón de lona con hebilla,Accesorios,Instagram,Cliente_33,5,29754,148770
2024-01-16,INF-010,Biker Shorts Urban Black,Inferior,Instagram,Cliente_13,4,26506,106024
2024-01-16,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Online,Cliente_125,4,42792,171168
2024-01-16,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,TikTok Shop,Cliente_85,5,39294,196470
2024-01-16,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_148,5,15572,77860
2024-01-17,INF-006,Cargo Pants Tactical Fit,Inferior,TikTok Shop,Cliente_21,3,39758,119274
2024-01-17,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_2,2,29291,58582
2024-01-17,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,TikTok Shop,Cliente_13,5,18628,93140
2024-01-17,INF-008,Sweatpants Classic Grey,Inferior,Tienda Física,Cliente_153,3,32372,97116
2024-01-17,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Física,Cliente_37,5,18153,90765
2024-01-17,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,TikTok Shop,Cliente_154,2,19633,39266
2024-01-18,INF-010,Biker Shorts Urban Black,Inferior,Instagram,Cliente_129,3,16777,50331
2024-01-18,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Física,Cliente_80,1,25164,25164
2024-01-18,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Física,Cliente_10,1,44182,44182
2024-01-18,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_171,2,26713,53426
2024-01-18,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Instagram,Cliente_158,2,19358,38716
2024-01-18,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Online,Cliente_61,2,38999,77998
2024-01-19,SUP-005,Denim Jacket Vintage Wash,Superior,TikTok Shop,Cliente_93,4,24902,99608
2024-01-19,CAL-015,RS-X Efekt Gradient,Calzado,Tienda Física,Cliente_136,2,30772,61544
2024-01-19,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Online,Cliente_152,1,15459,15459
2024-01-20,INF-010,Biker Shorts Urban Black,Inferior,Tienda Online,Cliente_84,3,22086,66258
2024-01-20,INF-009,Track Pants “Streets”,Inferior,TikTok Shop,Cliente_70,3,26444,79332
2024-01-21,SUP-005,Denim Jacket Vintage Wash,Superior,TikTok Shop,Cliente_121,1,32396,32396
2024-01-21,ACC-019,Cinturón de lona con hebilla,Accesorios,TikTok Shop,Cliente_97,4,31956,127824
2024-01-21,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Física,Cliente_69,1,44056,44056
2024-01-21,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_100,3,41028,123084
2024-01-21,SUP-005,Denim Jacket Vintage Wash,Superior,Tienda Física,Cliente_6,5,34018,170090
2024-01-21,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Física,Cliente_189,5,29832,149160
2024-01-22,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_161,3,43506,130518
2024-01-22,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Instagram,Cliente_108,4,33026,132104
2024-01-22,INF-008,Sweatpants Classic Grey,Inferior,Tienda Física,Cliente_147,2,30688,61376
2024-01-22,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Física,Cliente_116,2,39554,79108
2024-01-22,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Tienda Online,Cliente_114,3,15272,45816
2024-01-22,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Online,Cliente_48,5,29975,149875
2024-01-22,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_102,2,40230,80460
2024-01-22,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Instagram,Cliente_5,5,24945,124725
2024-01-23,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_52,2,18283,36566
2024-01-23,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Online,Cliente_122,4,29684,118736
2024-01-23,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_114,4,36705,146820
2024-01-23,CAL-015,RS-X Efekt Gradient,Calzado,Instagram,Cliente_200,3,18451,55353
2024-01-23,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_36,4,29901,119604
2024-01-24,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Física,Cliente_186,1,26200,26200
2024-01-24,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Física,Cliente_121,4,23143,92572
2024-01-24,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Instagram,Cliente_120,1,25974,25974
2024-01-24,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_187,5,22523,112615
2024-01-24,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_145,2,17279,34558
2024-01-24,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,TikTok Shop,Cliente_169,3,25186,75558
2024-01-24,SUP-005,Denim Jacket Vintage Wash,Superior,Tienda Física,Cliente_47,1,15353,15353
2024-01-25,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Tienda Online,Cliente_53,1,44158,44158
2024-01-25,ACC-019,Cinturón de lona con hebilla,Accesorios,TikTok Shop,Cliente_183,3,36863,110589
2024-01-25,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Física,Cliente_124,2,25776,51552
2024-01-25,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Instagram,Cliente_88,3,36991,110973
2024-01-25,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Física,Cliente_113,4,18782,75128
2024-01-25,CAL-015,RS-X Efekt Gradient,Calzado,Tienda Física,Cliente_187,5,40229,201145
2024-01-25,SUP-004,Classic Polo Black,Superior,Instagram,Cliente_24,1,24320,24320
2024-01-25,SUP-004,Classic Polo Black,Superior,Tienda Online,Cliente_81,5,22004,110020
2024-01-26,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Tienda Física,Cliente_121,2,44496,88992
2024-01-26,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Online,Cliente_74,4,28273,113092
2024-01-27,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_90,1,32773,32773
2024-01-27,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_129,4,32294,129176
2024-01-27,SUP-005,Denim Jacket Vintage Wash,Superior,Instagram,Cliente_9,1,36856,36856
2024-01-28,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Física,Cliente_148,1,35056,35056
2024-01-28,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Instagram,Cliente_126,4,23125,92500
2024-01-28,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Instagram,Cliente_91,5,33486,167430
2024-01-28,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Física,Cliente_150,4,27728,110912
2024-01-28,ACC-019,Cinturón de lona con hebilla,Accesorios,TikTok Shop,Cliente_57,2,41084,82168
2024-01-28,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Online,Cliente_167,3,32737,98211
2024-01-28,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Online,Cliente_188,5,30492,152460
2024-01-28,SUP-005,Denim Jacket Vintage Wash,Superior,Tienda Online,Cliente_183,2,34374,68748
2024-01-29,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_184,2,27654,55308
2024-01-29,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Online,Cliente_10,3,43261,129783
2024-01-29,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Instagram,Cliente_22,5,39009,195045
2024-01-29,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_156,2,22460,44920
2024-01-29,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_48,2,23995,47990
2024-01-29,CAL-015,RS-X Efekt Gradient,Calzado,Tienda Física,Cliente_75,1,24712,24712
2024-01-30,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Física,Cliente_87,5,26767,133835
2024-01-30,SUP-001,Essentials Oversized Tee,Superior,Tienda Online,Cliente_163,1,18427,18427
2024-01-31,INF-010,Biker Shorts Urban Black,Inferior,Tienda Física,Cliente_68,5,39760,198800
2024-02-01,CAL-013,Old Skool Black/White,Calzado,Instagram,Cliente_154,2,19150,38300
2024-02-01,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Física,Cliente_32,2,24248,48496
2024-02-01,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,TikTok Shop,Cliente_178,5,25852,129260
2024-02-01,INF-009,Track Pants “Streets”,Inferior,Tienda Física,Cliente_87,2,30213,60426
2024-02-01,INF-006,Cargo Pants Tactical Fit,Inferior,TikTok Shop,Cliente_73,3,44215,132645
2024-02-01,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Tienda Física,Cliente_22,1,36970,36970
2024-02-01,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_15,1,18524,18524
2024-02-02,INF-006,Cargo Pants Tactical Fit,Inferior,Tienda Física,Cliente_111,4,33533,134132
2024-02-03,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_179,5,40498,202490
2024-02-03,SUP-005,Denim Jacket Vintage Wash,Superior,TikTok Shop,Cliente_185,3,36561,109683
2024-02-03,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_70,2,18653,37306
2024-02-03,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Física,Cliente_28,1,15423,15423
2024-02-03,INF-009,Track Pants “Streets”,Inferior,Tienda Física,Cliente_115,1,22741,22741
2024-02-04,SUP-004,Classic Polo Black,Superior,Instagram,Cliente_123,4,32549,130196
2024-02-04,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_32,5,24376,121880
2024-02-04,INF-009,Track Pants “Streets”,Inferior,TikTok Shop,Cliente_123,3,44524,133572
2024-02-04,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Online,Cliente_52,1,17085,17085
2024-02-04,SUP-001,Essentials Oversized Tee,Superior,Instagram,Cliente_171,2,44917,89834
2024-02-04,SUP-001,Essentials Oversized Tee,Superior,Instagram,Cliente_98,2,31867,63734
2024-02-04,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_186,4,38806,155224
2024-02-04,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Física,Cliente_128,2,28406,56812
2024-02-05,SUP-005,Denim Jacket Vintage Wash,Superior,Instagram,Cliente_45,2,40193,80386
2024-02-05,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Instagram,Cliente_129,4,19980,79920
2024-02-05,CAL-015,RS-X Efekt Gradient,Calzado,Instagram,Cliente_38,3,42581,127743
2024-02-05,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,TikTok Shop,Cliente_154,1,20556,20556
2024-02-05,INF-010,Biker Shorts Urban Black,Inferior,Tienda Online,Cliente_104,2,18406,36812
2024-02-06,INF-008,Sweatpants Classic Grey,Inferior,Instagram,Cliente_182,1,31676,31676
2024-02-06,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Online,Cliente_149,4,15492,61968
2024-02-06,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Física,Cliente_178,4,42415,169660
2024-02-07,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Online,Cliente_184,2,20383,40766
2024-02-07,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Online,Cliente_191,4,20825,83300
2024-02-07,SUP-004,Classic Polo Black,Superior,TikTok Shop,Cliente_65,3,29800,89400
2024-02-07,SUP-001,Essentials Oversized Tee,Superior,Tienda Online,Cliente_19,2,26644,53288
2024-02-08,INF-006,Cargo Pants Tactical Fit,Inferior,TikTok Shop,Cliente_165,3,39695,119085
2024-02-08,CAL-013,Old Skool Black/White,Calzado,TikTok Shop,Cliente_153,4,29768,119072
2024-02-08,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_141,4,21129,84516
2024-02-08,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Tienda Física,Cliente_187,3,23425,70275
2024-02-08,ACC-019,Cinturón de lona con hebilla,Accesorios,Tienda Online,Cliente_80,4,39876,159504
2024-02-08,SUP-002,Skateboarding Logo Hoodie,Superior,Instagram,Cliente_182,3,32185,96555
2024-02-09,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_146,5,28172,140860
2024-02-10,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,TikTok Shop,Cliente_69,4,38849,155396
2024-02-10,INF-009,Track Pants “Streets”,Inferior,Tienda Física,Cliente_196,5,42280,211400
2024-02-10,ACC-019,Cinturón de lona con hebilla,Accesorios,Instagram,Cliente_29,3,40495,121485
2024-02-10,SUP-005,Denim Jacket Vintage Wash,Superior,TikTok Shop,Cliente_70,1,30301,30301
2024-02-10,INF-008,Sweatpants Classic Grey,Inferior,Instagram,Cliente_110,1,32165,32165
2024-02-10,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Física,Cliente_124,5,26174,130870
2024-02-11,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Instagram,Cliente_193,3,25661,76983
2024-02-11,INF-009,Track Pants “Streets”,Inferior,TikTok Shop,Cliente_45,2,37050,74100
2024-02-11,CAL-013,Old Skool Black/White,Calzado,Instagram,Cliente_151,3,22757,68271
2024-02-11,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Instagram,Cliente_157,3,23620,70860
2024-02-11,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Tienda Física,Cliente_56,3,15651,46953
2024-02-11,SUP-002,Skateboarding Logo Hoodie,Superior,Instagram,Cliente_90,3,25483,76449
2024-02-11,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_190,1,44151,44151
2024-02-12,INF-010,Biker Shorts Urban Black,Inferior,Tienda Física,Cliente_76,2,32048,64096
2024-02-12,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_132,4,34370,137480
2024-02-12,CAL-011,Air Force 1 ‘07 Triple White,Calzado,Tienda Online,Cliente_57,2,19517,39034
2024-02-12,SUP-003,Graphic Crewneck “Astro Drift”,Superior,TikTok Shop,Cliente_26,1,39357,39357
2024-02-12,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_10,1,31019,31019
2024-02-13,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_160,3,22025,66075
2024-02-13,ACC-017,Crossbody Bag Mini Messenger,Accesorios,TikTok Shop,Cliente_191,2,21644,43288
2024-02-13,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_119,1,15520,15520
2024-02-13,SUP-003,Graphic Crewneck “Astro Drift”,Superior,TikTok Shop,Cliente_157,1,40290,40290
2024-02-13,SUP-004,Classic Polo Black,Superior,Tienda Física,Cliente_144,5,36522,182610
2024-02-14,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,TikTok Shop,Cliente_29,2,38940,77880
2024-02-15,CAL-014,Chuck 70 Hi Canvas Natural,Calzado,Tienda Física,Cliente_179,5,37151,185755
2024-02-15,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Física,Cliente_147,2,43538,87076
2024-02-15,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Física,Cliente_95,1,30870,30870
2024-02-15,SUP-001,Essentials Oversized Tee,Superior,TikTok Shop,Cliente_44,5,16324,81620
2024-02-15,SUP-005,Denim Jacket Vintage Wash,Superior,Tienda Online,Cliente_183,3,26431,79293
2024-02-16,CAL-011,Air Force 1 ‘07 Triple White,Calzado,TikTok Shop,Cliente_38,2,33070,66140
2024-02-16,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_155,5,24955,124775
2024-02-16,INF-010,Biker Shorts Urban Black,Inferior,Tienda Física,Cliente_62,5,31748,158740
2024-02-17,SUP-003,Graphic Crewneck “Astro Drift”,Superior,Instagram,Cliente_134,2,43660,87320
2024-02-17,ACC-017,Crossbody Bag Mini Messenger,Accesorios,Instagram,Cliente_162,3,39635,118905
2024-02-17,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,TikTok Shop,Cliente_189,3,27508,82524
2024-02-17,INF-008,Sweatpants Classic Grey,Inferior,Tienda Física,Cliente_27,4,18010,72040
2024-02-17,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_95,2,42123,84246
2024-02-17,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,Instagram,Cliente_62,3,20735,62205
2024-02-17,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Física,Cliente_31,4,42077,168308
2024-02-17,SUP-002,Skateboarding Logo Hoodie,Superior,Tienda Online,Cliente_6,3,42914,128742
2024-02-18,ACC-020,Cadena plateada Miami Cuban Link,Accesorios,Tienda Física,Cliente_49,5,35227,176135
2024-02-18,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Tienda Online,Cliente_43,2,20231,40462
2024-02-19,ACC-016,Bucket Hat “Street Jungle”,Accesorios,Tienda Online,Cliente_13,2,38989,77978
2024-02-19,INF-008,Sweatpants Classic Grey,Inferior,TikTok Shop,Cliente_112,1,28694,28694
2024-02-19,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,Tienda Online,Cliente_164,3,20215,60645
2024-02-19,INF-009,Track Pants “Streets”,Inferior,Instagram,Cliente_17,1,17845,17845
2024-02-19,ACC-017,Crossbody Bag Mini Messenger,Accesorios,TikTok Shop,Cliente_59,4,42621,170484
2024-02-19,CAL-015,RS-X Efekt Gradient,Calzado,TikTok Shop,Cliente_109,1,22314,22314
2024-02-19,ACC-018,Gafas de sol “Neo Matrix”,Accesorios,TikTok Shop,Cliente_105,2,19457,38914
2024-02-19,CAL-012,Yeezy Boost 350 V2 Zebra,Calzado,Instagram,Cliente_52,2,37007,74014
2024-02-20,INF-008,Sweatpants Classic Grey,Inferior,Tienda Online,Cliente_77,2,32391,64782
2024-02-20,SUP-001,Essentials Oversized Tee,Superior,Tienda Física,Cliente_48,4,22381,89524
2024-02-20,CAL-015,RS-X Efekt Gradient,Calzado,Instagram,Cliente_120,3,26295,78885
2024-02-20,INF-007,Ripped Skinny Jeans 'No Mercy',Inferior,TikTok Shop,Cliente_34,4,38952,155808
