id,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_days_week,BMI
ZBP-488,87.4,1.87,182,162,65,,1303,27.6,3.6,2,12.32
MLD-997,41.6,1.85,181,169,52,2,1130,14.5,3.4,5,12.32
LOA-743,40,1.68,163,137,61,1.1,1470,31.7,1.7,4,19.34
SLW-011,56.2,1.75,164,127,57,1.45,952,29.6,3.5,4,17.29
WVF-029,80.5,,196,159,55,2,816,25.2,2.3,2,22.13
WEJ-432,52.2,1.75,171,165,72,1.45,570,26.1,3.4,4,12.48
BJY-892,83.1,1.94,188,153,56,1.41,1180,24.4,3.3,3,17.84
WRG-564,53.1,1.7,181,169,73,1.01,1740,23.8,2.3,4,
TVH-747,44.8,1.67,193,137,61,1.3,719,21.6,2.3,4,12.32
CSS-397,40,1.72,193,138,74,1.41,726,28,3.7,2,32.62
UQB-031,75.8,1.99,191,167,71,1.53,850,10,3.5,4,15.4
QDT-164,40.9,1.87,160,140,50,1.28,1261,17.1,2.1,4,39.61
JEO-399,80.8,1.85,188,141,74,1.19,838,12.1,3.5,2,14.81
XMD-606,63.9,1.86,161,147,51,1.83,1178,24,3.3,2,24.05
HYD-993,43.8,1.96,193,142,50,1.03,1590,29.7,3.6,2,21.88
VDD-389,71.9,1.88,177,159,57,2,1571,10,2.4,3,15.96
TMA-302,53.5,1.68,198,134,74,1.9,368,28.1,3.1,5,23.57
NHV-597,83.2,1.62,169,156,57,1.37,871,10,2.5,4,18.69
SCL-700,107,1.75,177,155,71,2,645,27,3.2,5,27.94
NWQ-023,65.3,1.6,177,153,74,0.96,,23.6,2.4,4,18.84
KWA-318,69.2,1.62,164,167,62,1.5,1721,25,2.3,5,33.3
CVL-086,46,1.79,177,140,68,2,1386,23.6,3.2,3,18
FMA-147,74.8,1.76,186,134,68,0.5,1783,21.8,3.5,4,23.47
YGR-414,49.3,1.71,162,160,52,1.23,375,29.4,3.4,5,14.06
NTY-692,67.9,1.81,194,137,73,1.19,1405,33.8,3.2,2,12.32
GXF-781,41,1.97,189,149,63,1.64,596,,1.8,2,12.32
CMW-237,81,1.64,175,169,74,1.99,878,21.7,1.5,2,13.42
XXZ-185,45.1,1.86,182,169,64,0.92,1482,25.5,3.7,2,18.99
MKM-678,54.2,1.68,199,137,74,1.67,972,14.1,3.4,2,15.66
MMP-281,83.6,1.86,170,162,74,0.83,732,22.7,2.8,2,24.77
IKC-893,50.9,1.73,170,137,58,1.43,804,23.5,3.7,2,17.61
CMP-780,89.2,1.88,189,167,58,2,1126,29.7,3.5,4,13.63
HGO-432,70.8,1.96,196,130,61,1.46,708,25.2,2.2,3,12.32
VRB-432,66.9,1.76,163,169,55,1.15,1018,24.2,3,3,16.52
KKZ-251,82.8,1.5,197,134,74,1.79,1009,30.5,3.3,3,19.41
DYT-944,80.4,1.79,171,169,74,1.43,,16.3,3.6,3,15.03
QEL-813,49.9,1.74,177,161,70,2,950,23,3.4,4,17.53
CRK-694,76.1,1.64,196,169,63,1.43,686,34.8,1.5,3,33.24
IEN-867,40,1.74,160,145,74,0.53,907,24.8,3.6,,24.44
TEM-980,91.1,1.7,,137,68,1.03,826,33.7,3.5,2,18.24
XTB-324,53.9,1.69,187,169,56,1.34,752,13.6,3.3,3,15.23
QCP-336,40,1.88,165,145,71,1.59,1121,22.6,3.4,2,14.1
YEK-109,75.9,1.7,183,151,51,1.01,1289,30.1,3.2,2,24.94
NLW-747,68.7,1.6,163,135,61,1.05,367,23.1,3.6,3,33.26
KXM-867,66.8,1.62,161,169,74,1.57,1410,30.2,3.3,,22.63
PPC-526,49,1.72,190,153,60,0.72,862,24.4,2.8,4,17.26
TBV-192,56.9,1.74,180,149,59,0.89,1441,22,3.2,2,19.82
EOA-698,115.8,1.68,177,150,74,1.11,629,24.2,3.6,5,20.56
FPO-095,100.3,1.83,168,125,74,1.21,746,23.3,3.4,5,
VOG-685,79,1.64,191,150,74,1.37,1741,16.9,1.9,4,30.73
NCC-671,50.6,2,179,133,,1.85,1265,19.8,2.7,,20.88
WMS-840,59.9,1.76,179,169,66,1.26,1024,,2.1,3,18.69
UGV-391,74.2,1.85,177,151,66,2,1104,28,1.5,3,
ALK-187,75.4,1.97,177,136,67,0.76,1371,29.7,3.1,2,15.43
CYN-796,61,1.67,163,139,70,1.22,361,27.4,3.4,2,17.17
IFY-980,45.3,1.75,190,169,69,0.82,808,28.4,3.7,2,26.5
EUY-741,78.5,1.81,190,127,74,1.38,466,29.9,1.7,4,15.7
VDD-390,50,1.69,196,143,53,,1115,21.6,2.7,4,28.53
LXT-241,48.6,1.95,175,152,57,1.87,862,23.1,1.6,3,12.32
ATX-617,51.4,1.83,195,141,54,0.97,1145,23.7,1.7,2,16.63
HWR-645,54.9,1.74,187,131,74,0.93,597,,3.2,3,18.89
ENP-854,64.7,1.67,167,152,74,1.38,1506,26,1.7,4,19.63
ZEO-214,77.8,1.76,183,157,74,1.27,1086,24.6,3.3,3,16.37
SMV-909,50.6,1.74,162,153,74,1.25,634,29.3,1.5,4,17.25
ZUJ-044,61.9,1.58,184,141,,1.63,900,25.2,3.7,2,18.23
KFK-101,42.6,1.56,180,169,62,1.27,1497,27.1,3.6,4,12.46
WDL-281,40,1.78,167,133,62,0.86,963,16.9,3.7,4,21.42
IRL-429,40,1.8,168,,58,0.5,729,32.5,3.7,3,12.32
JMT-543,71.3,1.78,167,129,72,0.86,1238,20.6,1.5,4,34.18
NEI-009,69,1.66,196,141,56,1.46,1251,25.7,2.4,4,18.23
TBA-319,57.1,1.61,198,129,66,0.94,1064,31.7,2.4,2,19.32
YFX-554,40,1.66,190,147,50,1.6,1287,27.6,1.9,5,22.99
JSP-984,,1.64,196,169,74,0.9,921,25.8,3.3,5,20.03
UOO-019,110.3,1.76,168,169,55,1.86,1391,33,3.5,5,16.38
HZL-369,56.5,1.86,193,129,54,1.4,901,20.6,3.5,4,13.7
LGH-922,71.9,1.54,170,121,59,1.48,658,18.9,2.6,4,24.65
LVS-683,74.8,1.83,165,144,63,1.66,1174,22.9,3.1,2,15.29
AGD-129,83.3,1.59,165,169,72,1.19,997,25.7,3.3,3,31.83
ZFD-160,40,1.75,176,124,68,1.01,1536,14.6,3.5,,17.62
EMK-872,68.7,1.77,161,169,68,1.01,1011,27.3,3.5,3,17
QIA-338,66.8,1.66,166,135,59,2,803,23.2,3,2,12.56
UCM-961,47.8,1.85,161,156,50,1.02,1265,30.8,3.2,5,12.32
TPP-046,59.1,1.69,180,155,57,1.99,1505,27.5,1.9,4,17.36
UXV-873,49.1,1.68,,142,74,1.13,961,23.7,3.1,,15.28
OQH-018,82.7,1.79,171,167,69,1.09,1305,21.8,2.1,2,12.89
HZA-471,52.4,1.74,181,169,63,0.83,889,10,2.8,4,13.4
GRS-235,100,1.73,192,166,56,1.22,1631,23.3,1.8,4,12.32
FHZ-355,57.5,1.74,193,154,70,1.16,1358,33.9,3.7,4,12.32
PVW-868,89.8,1.66,185,140,54,2,1283,28.4,1.9,,16.69
EPV-570,46.3,2,167,169,64,1.29,1556,22.5,2.6,2,17.38
NNN-192,56,1.82,170,131,62,1.55,1249,,2,3,15.72
DLY-310,40,1.58,,164,52,1.08,1262,24.7,3.2,4,28.07
UGL-663,42,1.82,188,137,67,0.77,589,16.4,2,2,29.09
ZVY-305,57.9,2,168,156,50,1.05,689,28.3,3.6,3,18.31
PQV-335,40,1.8,187,158,71,1.24,665,24.1,1.7,2,14.93
OYK-207,70.9,1.87,176,164,59,2,745,28.2,3.2,4,15.74
BDA-727,59.1,2,181,123,72,1.94,901,23.2,2.4,4,13.32
UUT-979,74.6,1.71,169,143,54,1.49,1213,28.7,2,2,18.68
RDD-608,49.9,1.77,191,123,74,1.4,626,25.9,3.4,2,24.35
DQE-711,52.6,1.76,175,154,50,1.17,1783,21,3,3,30.92
JLS-213,87.5,1.76,169,160,60,2,1042,22.4,3.3,2,21.79
REZ-298,44.9,1.77,168,127,57,1.66,512,12.3,3.7,3,20.39
WPH-416,63.9,1.71,164,140,66,1.48,785,30.2,3.3,4,21.96
GWL-444,48.2,1.75,180,134,63,1.39,1053,22.1,2.2,4,16.34
CMF-440,78.1,1.75,184,158,50,,871,31.6,2.5,2,17.61
AGY-784,59.4,1.87,195,139,74,2,958,14.9,2.7,3,36.72
USX-132,89.4,1.84,168,168,69,2,968,17.3,2.6,5,14.77
ZRC-557,53.9,1.62,170,169,72,1.38,810,24.7,3.4,3,29.34
XDL-058,62.9,1.72,191,157,63,1.31,514,26.3,2.2,3,12.32
ZFH-413,69.1,1.64,183,139,73,1.32,1002,26,1.5,5,16.27
ACK-825,49.9,1.75,182,158,74,2,1032,23.1,3.1,5,17.64
XJN-673,40,1.7,190,120,64,1.33,1589,26.8,3.1,2,18.76
GJF-860,40,1.65,160,144,73,2,1078,17.4,3.5,2,21.36
SYC-815,123.8,1.62,164,167,59,1.43,303,22.3,3.6,2,24.63
PDX-385,56.5,1.93,177,156,52,1.53,1419,22.3,3.5,4,16.43
HCA-421,98.9,1.58,181,126,68,1.48,1330,27.5,3.1,3,12.32
JJJ-999,63,1.66,191,168,74,0.89,456,24.5,2.7,3,14.75
FMZ-589,93.3,1.71,199,,50,1.59,1166,22.3,2.6,4,24.01
HYS-618,98.5,1.99,187,153,57,1.95,859,22.7,1.9,3,15.7
CAI-171,40,1.82,177,127,74,0.73,352,26,3.4,3,28.42
XNH-890,60.5,1.57,177,131,59,1.3,1286,28.1,2.6,3,19.42
MFN-814,53.8,1.7,197,120,69,1.01,1274,31.4,2.4,3,15.72
NVG-706,115.4,1.79,188,168,72,2,859,31.2,1.8,3,19.06
FEW-536,83.5,1.67,162,169,70,1.54,1389,12.1,1.7,2,33.8
BIQ-696,40,1.9,166,169,57,1.28,1556,17.4,2.1,2,19.51
AEB-418,48.7,1.75,187,141,70,2,1266,34.4,2.6,3,38.48
EQO-771,44.2,1.64,171,164,66,1.14,1083,16.1,2.2,5,18.36
QLB-135,77.7,1.55,178,131,67,1.4,1259,14.8,2.4,3,12.32
LED-883,57.6,1.74,172,120,74,1.46,635,15,3.2,2,12.8
VAG-138,47.8,1.73,162,136,56,1.42,562,23.9,3.4,3,14.48
FNM-887,83.6,1.84,186,137,73,1.33,1338,35,2.6,2,30.41
GMW-895,87.3,1.71,199,145,65,1.16,1783,30,3.3,3,12.32
QXO-088,48.6,1.72,180,136,72,1.38,1185,23.5,1.8,,21.68
NDG-050,80.7,2,184,142,74,0.72,1221,25.6,1.9,2,18.28
BIV-704,129.9,1.76,168,135,50,1.3,1208,25.1,2,3,13.89
KVD-476,59,1.78,173,169,51,1.07,904,18.9,3.2,2,12.32
QLV-170,73.6,1.53,186,128,50,1.46,1222,25.2,2.3,3,14.92
WEU-490,72.8,1.84,174,152,62,1.32,730,23.5,2.1,2,12.32
QZP-996,78,1.51,182,169,64,1.06,990,31.4,3.1,3,12.32
BUU-208,65.9,1.78,170,135,69,2,1734,23.9,3.1,3,24.81
JVQ-129,61,1.51,173,146,58,2,1403,21.7,2.1,2,12.32
GFP-794,65.7,1.72,180,169,56,2,1005,27,3,3,21.61
YRZ-861,,1.84,179,136,74,1.52,1256,22.5,3.4,2,18.9
JSZ-482,68.1,1.66,160,120,65,1.43,1343,27.2,3.3,4,25.77
UCR-944,40,1.64,160,152,56,1.2,1317,19.2,1.8,3,28.02
ZJA-171,65.5,1.69,178,134,53,1.29,405,24.4,,4,12.32
RHY-740,53.9,1.73,177,157,73,1.24,1483,10,3.5,3,15.92
CUI-969,62.7,1.87,184,141,59,1.59,708,10.3,1.5,2,13.14
LZD-208,42.3,1.64,198,169,65,1.55,1199,26.4,3.2,4,15.26
XYK-809,63,1.51,184,169,71,1.3,1136,23.8,2.3,3,22.69
VHE-286,87.7,1.98,186,145,50,1.61,1705,14.1,2.3,3,15.99
OMM-891,71.7,1.91,197,148,74,1.15,464,32.5,2.7,4,19.09
KYU-052,40,1.93,167,158,74,1.19,1265,24.7,2.6,4,12.32
WSN-811,82.8,1.79,192,127,74,1.18,1140,10,2.4,4,21.95
DWM-792,76.4,1.79,189,132,57,1.41,1414,33.3,3.5,3,14.21
MCC-408,40,1.59,187,152,73,1.52,948,27.1,1.6,3,13.85
NPK-493,66.7,1.73,172,,71,1.18,589,24.9,1.8,3,19.24
AOY-908,90.6,1.85,187,131,68,1.67,607,27.5,3.3,2,19.15
XIT-742,40,1.77,179,139,74,1.22,1173,27.7,1.6,3,19.2
LVT-262,51.4,1.78,167,154,70,2,1218,29.8,2.1,3,13.61
KQZ-376,129.9,1.71,161,169,56,2,443,29.6,2.4,4,12.32
FYD-137,76.6,1.84,188,138,71,1.72,699,28.3,3.5,4,19.76
KUP-606,42.1,1.6,194,148,73,1.27,1305,12.7,3.3,2,16.65
ASB-536,60.7,1.7,183,128,74,1.22,817,20.9,2.8,4,35.87
DYU-655,43.6,1.7,168,126,55,1.42,685,23.9,1.5,4,19.35
PZH-923,116.6,1.72,187,126,70,1.1,779,23.8,2.6,3,16.61
WVV-466,58.6,1.64,187,135,66,1.18,1564,10,3.4,3,21.91
DDY-527,86.3,1.89,164,131,74,0.97,1175,19.5,2.4,,28.62
TJC-344,55.2,1.71,172,136,74,1.93,670,10,3.1,4,20.85
VER-416,51.4,1.84,169,152,58,1.14,1175,20.9,3.5,5,16.95
TWX-473,64.8,1.6,189,149,59,0.5,880,22.3,1.9,4,21.61
QSI-783,51.8,1.6,176,159,72,1.14,574,25.3,2,4,16.69
EYF-537,75.3,1.67,166,130,58,1.22,928,27.4,3.2,3,23.17
IUA-163,129.9,1.82,182,158,70,1.44,1155,20.2,3.6,,17.37
ANF-602,59.8,1.7,181,120,73,1.54,1130,29.6,3.5,3,22.56
SPH-180,40,1.84,199,123,74,1.34,904,30.2,3.1,3,16.34
JQB-001,97.4,1.75,173,144,56,1.27,917,27.1,3.2,4,28.45
QJP-220,72.5,1.73,184,135,71,1.12,1392,11.9,3.5,3,29.87
DJG-640,92.2,1.73,170,150,74,2,538,10,2.2,2,15.3
VAF-553,79.4,1.77,165,150,73,1.23,1148,24.1,3.3,3,22.64
CCW-545,74.7,1.85,194,127,74,0.65,1105,19.4,3.6,2,16.46
XDM-709,41.9,1.69,176,138,74,1.89,1010,27.9,2.6,2,17.97
HNJ-106,73.6,1.79,195,146,73,1.13,636,14.1,2.7,2,12.32
AUI-448,103.4,1.53,180,166,56,1.28,631,23,3,4,19.18
VTU-410,72.9,1.63,164,156,51,1.11,582,27.1,3.2,3,19.83
NQM-224,59.1,1.62,191,127,54,1.02,995,26.2,3.4,3,12.46
HWD-641,45,1.68,171,154,74,1.5,1692,10,2.4,4,12.32
MBB-002,95.7,1.85,196,136,58,1.44,987,23.8,1.5,3,15.47
KHJ-612,,1.75,193,136,51,0.58,1218,28.4,3,4,19.66
QWK-922,,1.81,171,168,74,0.75,793,24.4,2.1,3,22.57
EJR-998,75.8,1.87,160,163,63,2,988,23.5,2.7,4,12.32
HQO-053,82.6,1.6,174,149,63,2,775,22.9,3.3,2,15.06
XMR-599,,1.5,198,128,50,0.97,906,31.2,3.4,2,21.03
RWI-885,115.4,1.73,187,154,63,1.12,878,30.7,3.5,3,27.02
TQQ-336,64.9,1.69,187,128,54,0.68,1303,10,3.3,4,14.87
MSB-264,42.4,1.69,198,129,58,0.77,1030,28.1,1.5,,20.39
KQR-247,87.1,1.91,186,150,51,1.39,1431,27,2.8,3,21.51
TBZ-138,104.3,1.79,197,158,72,1.3,933,23.4,3.2,2,16.4
VKH-314,84.8,1.74,165,151,59,1.49,717,24.9,3.4,4,14.13
ODT-906,43.6,1.6,165,141,60,1.37,1783,16.9,1.5,4,15.52
HPG-223,92.8,2,195,154,58,1.44,676,24.3,1.5,4,16.6
QLO-247,43.5,1.52,189,146,63,2,1213,24.3,2.5,4,25.35
JVZ-392,66.2,1.85,196,120,58,0.84,420,24.9,1.5,4,12.32
LON-117,70.5,1.65,179,144,74,0.6,1151,15.5,3.5,2,12.32
LBQ-427,73,1.59,175,165,70,0.96,869,30.1,3,5,15.01
OQK-770,57.1,1.66,168,146,74,1.17,1040,24.6,3.5,2,17.57
RFC-329,65.7,1.81,189,165,55,1.66,733,35,3.5,4,25.06
NNX-618,90.3,1.68,169,135,59,1.1,758,10.5,1.7,4,31.04
SEH-609,96.2,1.59,170,142,52,1.57,1305,10.2,2.8,,21.72
LOJ-319,67.7,1.84,193,122,66,1.19,900,13.7,3.4,5,19.76
EOY-512,90.9,1.69,198,142,74,1.35,927,18.1,3.2,4,16.23
TPL-954,40,1.52,192,151,63,1.5,572,25.1,3.7,4,25.64
YLW-099,69.3,1.75,180,120,72,1.06,1421,24.6,3.2,4,25.22
IRQ-932,40,1.78,192,149,57,0.93,1075,25.5,1.9,4,22.57
GBR-345,102.9,1.61,172,146,70,1.57,1113,23.5,3.2,3,21.82
HYU-235,40,1.52,164,144,65,1.53,629,22.6,3.1,4,22.23
DJM-545,75.6,1.74,192,128,72,1.86,906,21.4,3.3,4,34.73
MPW-278,40,1.97,173,133,74,2,916,18.8,2.3,2,13.57
ORG-192,73.5,1.87,167,145,68,2,1338,21.9,3.5,3,22.35
VAS-963,86,1.69,183,136,58,1.16,861,23.3,3.6,5,28.85
XGD-138,52.9,1.8,163,159,57,1.45,1117,27.1,3.3,3,27.72
EIK-330,40,1.81,176,138,66,1.44,1210,23,3.6,4,12.32
GSM-182,76.8,1.75,166,125,74,1.56,1152,25.1,2.7,3,16.66
DFQ-670,66.6,1.85,189,121,56,0.88,993,13.9,3.4,5,12.32
DTC-080,65.8,1.62,172,127,62,1.35,1307,26,3.4,3,15.3
BYK-424,66.9,1.69,197,149,74,1.37,872,16.6,2.6,5,33.07
RQY-276,86.3,1.86,167,143,73,1.26,1783,27.1,3.1,3,12.93
PZR-751,90.7,1.75,190,135,54,1.03,1155,28,2.3,3,12.66
FIC-582,74.7,1.59,161,169,74,1.08,1379,15.2,2.5,3,21.53
ZSU-278,57.4,1.74,179,161,73,2,457,27.7,2.5,3,24.67
DPQ-509,69.5,1.54,167,158,72,1.28,1044,27.9,2.9,2,14.68
UKG-784,62.1,1.68,173,158,71,1.23,1186,26.4,3.5,4,15.6
JLR-886,62.3,1.91,198,141,51,1.47,1394,22.7,1.8,3,17.4
MOE-690,121.6,1.78,182,151,50,1.81,1242,21,3.5,4,16.63
VIJ-396,76.8,1.52,191,140,66,1.08,702,21,3.6,3,25.59
SPL-010,66.7,1.93,175,166,63,1.26,949,27.8,3.4,2,13.53
NTN-603,70.5,1.84,173,127,66,0.97,1013,26.7,1.6,5,25.59
UUN-396,51.9,1.57,170,167,73,1.25,1082,27.5,1.6,3,18.89
RCN-449,69.4,1.85,177,153,74,1.55,879,10,2.4,3,17.58
DRR-925,87.8,1.88,195,133,74,1.95,621,19.9,3.4,3,20.22
AEW-746,40,1.58,165,134,69,1.05,624,29.2,1.7,3,12.47
OUL-785,49.2,1.64,177,164,53,0.58,1114,23.3,2.9,3,23.08
WPQ-722,56.1,1.54,182,168,52,1.34,1083,33.1,2.5,4,18.76
DVY-682,54.7,1.56,191,157,55,1.13,682,25.2,1.5,4,
WJR-564,80.8,1.8,195,137,64,1.1,1285,29.8,2.7,3,21.28
MNX-105,42.7,1.81,166,139,71,1.42,1044,26,3.2,3,12.32
MBR-633,40,1.8,176,122,73,1.37,1171,10,3.7,3,19.84
XNC-884,100.4,1.62,188,128,73,1.4,614,29.3,3.3,2,33.21
SKF-533,105.4,1.77,188,169,72,1.45,999,22.5,3.7,3,25.09
PHS-092,78.5,1.8,179,169,59,1.64,683,23.9,2.7,4,22.33
ZRE-917,80,1.67,167,169,57,0.94,899,29.8,3.1,3,17.15
WXU-912,92.1,1.77,175,167,74,1.66,737,25.3,3.3,4,17.16
CRU-121,51.6,1.5,175,149,66,2,863,25.2,2,3,24.7
BZA-453,45.1,1.87,192,138,69,1.89,1071,25.8,2.3,5,19.64
PKW-736,76,1.72,196,160,73,1.51,1306,28.8,3.5,3,12.32
RFB-081,46.4,2,198,135,74,1,497,29.7,1.8,2,23.07
RSD-755,68.5,1.61,191,169,74,1.18,1278,19.9,3.1,3,18.59
TJC-530,69.2,1.87,168,127,68,1.47,1275,24.1,2.9,5,14.59
VZR-333,81.8,1.83,182,163,53,2,1159,29.2,2.7,4,22.27
KBZ-419,86.3,1.74,184,169,61,1.85,993,24.9,3.4,2,22.21
KUC-615,77.9,1.8,199,169,56,1.3,1171,19.7,3.4,3,19.98
DNQ-080,94.4,1.69,197,155,61,1.94,1089,20.7,2.4,,14.52
IZH-431,59.7,1.65,191,138,68,0.95,539,35,3.2,4,17.55
LJN-434,90.1,1.72,184,138,68,1.35,1043,27.1,2.1,4,22.34
LZK-430,52.7,1.53,182,134,50,1.19,1090,31.5,3.4,3,25.06
ASP-519,47.8,1.62,173,129,74,1.59,1638,25.8,2.4,3,12.32
CDN-004,91.2,1.7,194,142,62,0.91,1090,33.3,3.7,3,17.63
PPQ-609,59.8,1.65,162,169,74,1.5,1130,30.4,3.2,5,12.32
TIF-053,48.7,,198,162,56,1.06,1503,10.1,3.4,2,23.7
RCB-234,45.2,1.73,198,156,59,1.07,1562,24.2,2.8,4,22.25
ERM-454,62.2,1.71,190,142,58,2,1757,18.5,3.1,,16.06
